max_depth,n_estimators,f1,roc_auc,pr_auc
8,400,0.4722168508516953,0.779619476944902,0.5599768425874307
8,600,0.47195291394947025,0.779862806334631,0.5603741596529656
8,800,0.4714579672966477,0.7798174105399923,0.560271741081429
8,1000,0.4714543264694902,0.7798607153828191,0.5602617755253019
10,400,0.4729868141876071,0.781002607211685,0.5610180781174737
10,600,0.47159606925362413,0.7811898530546411,0.5614171033237692
10,800,0.47210746800943687,0.7811363173898925,0.5612879172257038
10,1000,0.47287055990893534,0.7812172949559725,0.5613133779897671
12,400,0.4699976288691727,0.7807965937870085,0.5599442627922625
12,600,0.4704780666272259,0.7811393164013971,0.5602107707150294
12,800,0.4717786042892003,0.7811786159833255,0.5603331163977119
12,1000,0.4708819722739707,0.7812384826510401,0.5604640209569522
15,400,0.47281647480687944,0.7792695720917261,0.5571691011664227
15,600,0.47162408800915895,0.7797221588190388,0.5578169978642525
15,800,0.4711216207448788,0.7798276060847117,0.5579771815982643
15,1000,0.4725634594951868,0.7799820150567808,0.5581377704943881
